,T1R1,T1R2,T2R1,T2R2,T3R1,T4R1,T4R2,T5R1,T5R2,T6R1,T6R2,T7R1,T7R2,T8R1,T8R2,T9R1,T9R2,T10R1,T10R2,T11R1,T11R2
AT1G08000,3.054842283,3.063628038,2.973192803,3.273696055,2.196205644,2.69781643,3.308193749,3.225814815,3.031727793,2.608796714,3.150914916,2.656537515,2.884255561,2.79661747,2.586529171,3.163608279,3.050588705,3.023098517,2.892575404,3.20959663,3.035987189
AT1G08010,3.406745437,3.607206618,3.54598059,3.553350083,3.299828275,2.69781643,3.239480999,3.482972655,3.557101497,3.586498047,3.536492815,2.367030898,2.473467534,3.374455536,3.312817972,3.599282071,3.51327918,2.469407478,2.079660957,3.246829536,3.437800993
AT1G08290,-0.538113008,-0.495604188,0.722231229,0.481689098,0.548507388,0.065548215,-0.533108505,1.37922473,-0.315437594,1.409815679,1.205135307,0.49256178,0.587638554,1.951460515,1.20001737,0.450890231,0.528820031,0.779475418,-0.322437487,1.506797639,1.665875561
AT1G08320,1.046849492,1.493424694,0.165837881,0.680997906,0.34205651,0.550975042,0.203857089,-0.061347861,-0.702460717,0.545470779,1.424145089,1.095226282,2.041356522,0.085477863,0.110380157,0.450890231,0.528820031,2.270723484,0.957670433,0.596064977,0.461517062
AT1G08465,3.342898955,3.632429201,3.930124081,3.998264624,3.781168145,3.765987933,3.663288707,3.817797744,4.060623938,4.355465582,4.326966021,4.535335803,4.228983525,3.882825612,4.158133289,3.978627863,4.124050867,4.183411924,4.127595434,5.02635025,4.627953078
AT1G08810,3.022601946,3.339584942,2.648230648,2.738028851,1.165178748,-2.25637988,1.341360613,2.726243806,2.87322397,3.073849751,2.569018719,-0.174862881,0.587638554,0.745991397,1.670467989,2.859903943,2.899382901,0.606143815,0.957670433,0.200136301,-0.361605176
AT1G08970,4.702201321,4.809835784,4.35914581,4.517964484,4.691465342,4.457865637,4.596174512,4.897273897,5.012841333,5.036501592,4.983481782,5.766961505,5.820632921,4.798393095,5.104588519,5.186653078,5.045195446,5.797229287,5.844622181,5.70876511,5.753338402
AT1G09530,3.729922078,3.607206618,4.160524081,4.423769122,4.234073829,4.754847375,3.990453451,4.222291749,4.002241028,3.522163405,3.794034223,3.472383898,3.321464441,3.643034206,3.596467408,3.570061932,3.734927369,3.555380701,3.528419074,3.791412575,3.814472053
AT1G09710,3.329783456,3.018422406,3.354499445,3.553350083,4.635970229,4.457865637,4.421087805,2.340750582,2.835504304,1.859981402,2.474070315,2.608038997,2.603235409,2.72373859,2.689164083,2.27192009,2.219715976,3.304220396,2.752850641,2.666454305,2.507810715
AT1G09770,6.632479753,6.680077664,6.692164504,6.547778288,4.702312724,4.010406661,3.904296807,6.308716755,6.369414139,6.112598069,6.339814104,3.80913664,3.715128289,6.031393616,6.062785412,6.208743192,6.415648852,4.208901898,4.253911884,3.645695745,3.920948681
